source,target,date_followed
480609,481455,2010-04-01 16:08:15
481455,480609,2010-04-01 16:09:17
481455,452857,2010-04-01 16:09:33
444730,446219,2010-04-01 16:10:14
444730,444727,2010-04-01 16:11:03
384156,480767,2010-04-01 16:11:13
444730,446220,2010-04-01 16:11:22
466812,478291,2010-04-01 16:11:39
436886,478889,2010-04-01 16:11:56
444730,446217,2010-04-01 16:12:20
436886,348497,2010-04-01 16:13:39
458672,378144,2010-04-01 16:16:00
458672,222324,2010-04-01 16:16:24
458672,448392,2010-04-01 16:19:01
458672,449379,2010-04-01 16:19:40
458672,348962,2010-04-01 16:20:14
458672,398449,2010-04-01 16:20:26
458672,312910,2010-04-01 16:20:56
458672,477915,2010-04-01 16:22:15
458672,415774,2010-04-01 16:22:40
458672,167225,2010-04-01 16:23:07
132838,130640,2010-04-01 16:23:14
458668,458676,2010-04-01 16:24:07
458672,302973,2010-04-01 16:24:23
458672,461241,2010-04-01 16:25:12
436886,449719,2010-04-01 16:25:30
458672,302462,2010-04-01 16:26:36
480898,424626,2010-04-01 16:31:03
253819,393741,2010-04-01 16:33:02
458672,93171,2010-04-01 16:33:57
447140,475758,2010-04-01 16:34:37
447140,424756,2010-04-01 16:34:48
393711,78506,2010-04-01 16:35:05
458672,99411,2010-04-01 16:36:35
458672,106355,2010-04-01 16:36:50
444842,202884,2010-04-01 16:37:13
460227,444842,2010-04-01 16:37:43
476391,326189,2010-04-01 16:42:33
460225,91447,2010-04-01 16:48:54
446200,445394,2010-04-01 16:50:57
480671,354388,2010-04-01 16:51:47
411357,400693,2010-04-01 16:54:34
253819,410622,2010-04-01 16:54:56
405515,475383,2010-04-01 16:57:42
349134,373727,2010-04-01 17:00:38
481493,354388,2010-04-01 17:00:41
405515,478075,2010-04-01 17:01:18
444842,312382,2010-04-01 17:01:36
444842,202903,2010-04-01 17:03:09
328217,401020,2010-04-01 17:03:12
328217,287878,2010-04-01 17:03:21
471720,195638,2010-04-01 17:07:41
457197,76674,2010-04-01 17:08:17
437341,40784,2010-04-01 17:10:44
434177,451785,2010-04-01 17:11:34
434177,421419,2010-04-01 17:11:42
437341,48065,2010-04-01 17:12:02
434177,383039,2010-04-01 17:12:02
434177,143558,2010-04-01 17:12:13
434177,393390,2010-04-01 17:12:22
437341,383039,2010-04-01 17:12:50
434177,135251,2010-04-01 17:13:15
434177,374570,2010-04-01 17:13:22
437341,143558,2010-04-01 17:13:24
434177,427929,2010-04-01 17:13:33
434177,358226,2010-04-01 17:13:40
434177,70317,2010-04-01 17:13:49
437341,383904,2010-04-01 17:13:55
434177,160342,2010-04-01 17:14:04
434177,226347,2010-04-01 17:14:19
434177,28685,2010-04-01 17:15:26
437341,358226,2010-04-01 17:15:52
434177,10944,2010-04-01 17:16:42
253819,40256,2010-04-01 17:17:06
421470,481465,2010-04-01 17:17:08
434177,14828,2010-04-01 17:17:09
437341,211303,2010-04-01 17:17:13
441161,268330,2010-04-01 17:20:24
437661,49156,2010-04-01 17:26:03
472265,481506,2010-04-01 17:27:07
253819,468398,2010-04-01 17:30:37
453735,436886,2010-04-01 17:36:18
481514,456076,2010-04-01 17:39:13
456076,481514,2010-04-01 17:41:31
436886,456076,2010-04-01 17:41:44
436886,481514,2010-04-01 17:41:50
481510,436886,2010-04-01 17:43:03
456076,436886,2010-04-01 17:43:04
456076,446857,2010-04-01 17:43:19
456076,470912,2010-04-01 17:43:25
478889,481514,2010-04-01 17:43:31
456076,440300,2010-04-01 17:43:32
433544,398086,2010-04-01 17:44:34
478889,449719,2010-04-01 17:44:57
239440,315923,2010-04-01 17:44:58
481517,436886,2010-04-01 17:45:08
436886,481510,2010-04-01 17:45:54
435027,380824,2010-04-01 17:45:58
349134,375904,2010-04-01 17:46:03
436886,453735,2010-04-01 17:46:07
349134,371837,2010-04-01 17:46:09
